OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Android 9,Linux armv8l,112,8,ARM,Mali-T830,360x720,Chrome/90.0.4430.91,123.176.33.201,Asia,India,Telangana,Hyderabad,ACT Fibernet,ACT Fibernet,25.5616563 deg,91.8649133 deg,200 m,Not Available,90 deg,0 m/s
25.5616563 deg,91.8649133 deg,200 m,Not Available,90 deg,0 m/s
25.5616563 deg,91.8649133 deg,200 m,Not Available,90 deg,0 m/s
25.5616563 deg,91.8649133 deg,200 m,Not Available,90 deg,0 m/s
25.5642188 deg,91.8670484 deg,1600 m,Not Available,Not Available,Not Available
